Wine,Alcohol,Malic.acid,Ash,Acl,Mg,Phenols,Flavanoids,Nonflavanoid.phenols,Proanth,Color.int,Hue,OD,Proline
0,13.24,3.98,2.29,17.5,103,2.64,2.63,.32,1.66,4.36,.82,3,680
0,14.38,3.59,2.28,16,102,3.25,3.17,.27,2.19,4.9,1.04,3.44,1065
0,13.05,1.73,2.04,12.4,92,2.72,3.27,.17,2.91,7.2,1.12,2.91,1150
0,13.82,1.75,2.42,14,111,3.88,3.74,.32,1.87,7.05,1.01,3.26,1190
0,13.77,1.9,2.68,17.1,115,3,2.79,.39,1.68,6.3,1.13,2.93,1375
0,14.22,1.7,2.3,16.3,118,3.2,3,.26,2.03,6.38,.94,3.31,970
0,13.29,1.97,2.68,16.8,102,3,3.23,.31,1.66,6,1.07,2.84,1270
1,12.37,.94,1.36,10.6,88,1.98,.57,.28,.42,1.95,1.05,1.82,520
1,12.64,1.36,2.02,16.8,100,2.02,1.41,.53,.62,5.75,.98,1.59,450
1,12.52,2.43,2.17,21,88,2.55,2.27,.26,1.22,2,.9,2.78,325
1,12.42,1.61,2.19,22.5,108,2,2.09,.34,1.61,2.06,1.06,2.96,345
1,12.77,3.43,1.98,16,80,1.63,1.25,.43,.83,3.4,.7,2.12,372
1,12.07,2.16,2.17,21,85,2.6,2.65,.37,1.35,2.76,.86,3.28,378
1,12.43,1.53,2.29,21.5,86,2.74,3.15,.39,1.77,3.94,.69,2.84,352
1,12.04,4.3,2.38,22,80,2.1,1.75,.42,1.35,2.6,.79,2.57,580
2,12.86,1.35,2.32,18,122,1.51,1.25,.21,.94,4.1,.76,1.29,630
2,12.88,2.99,2.4,20,104,1.3,1.22,.24,.83,5.4,.74,1.42,530
2,13.36,2.56,2.35,20,89,1.4,.5,.37,.64,5.6,.7,2.47,780
2,13.52,3.17,2.72,23.5,97,1.55,.52,.5,.55,4.35,.89,2.06,520
2,13.62,4.95,2.35,20,92,2,.8,.47,1.02,4.4,.91,2.05,550
2,12.2,3.03,2.32,19,96,1.25,.49,.4,.73,5.5,.66,1.83,510
2,13.71,5.65,2.45,20.5,95,1.68,.61,.52,1.06,7.7,.64,1.74,740
2,13.4,3.91,2.48,23,102,1.8,.75,.43,1.41,7.3,.7,1.56,750
2,13.17,2.59,2.37,20,120,1.65,.68,.53,1.46,9.3,.6,1.62,840
